Longitude,Latitude,Cloud_Cover_Percentage,Diurnal_Temp_Range,Frost_Days,Evapotranspiration,Precipitation_Amount,Mean_Temp,Vapor_Pressure,Wet_Days_Count,elevation,Buffalo_Population,Cattle_Population,lumpy
75.51794,54.84852,36.9,8.6,31.0,0.0,5.8,-23.0,1.0,0.8995981924982445,151,185.7729687,0.001074965,1
76.867777,55.05673,47.8,8.1,31.0,0.0,5.4,-22.7,1.0,0.9205703370842565,153,176.1309735,0.001512286,1
74.14463,54.5556,44.8,8.3,31.0,0.0,5.2,-21.9,1.0,0.8294176791276058,153,286.2762257,0.003381517,1
36.4843,34.9092,67.4,7.4,4.27,1.4,122.7,9.3,8.7,1.3705646349319647,171,944.6532683,1e-08,1
88.95,24.73,40.5,13.4,0.0,2.2,6.4,18.4,14.9,0.4139778559217159,145,24730.39136,800.2351969,1
89.09,22.65,41.9,13.5,0.0,2.3,0.7,19.3,16.0,0.009901152270820517,145,22074.53379,377.1849474,1
86.3711,20.9605,36.7,12.4,0.0,2.9,0.0,21.3,18.2,0.0,145,36535.52167,207.2462842,1
86.857682,21.636522,37.0,13.2,0.0,2.5,1.5,19.7,17.3,0.11530675685097261,146,8614.420873,116.2412195,1
86.91667,21.585458,37.0,13.2,0.0,2.5,1.5,19.7,17.3,0.11530675685097261,146,8614.420873,116.2412195,1
79.95024,52.49329,55.2,9.1,31.0,0.1,8.6,-21.3,1.0,1.090401657263201,156,251.9028643,0.000839016,1
91.696838,24.589827,43.9,14.0,0.0,2.0,9.8,18.0,14.7,0.47944989687384015,147,10521.85943,1010.077194,1
90.414794,24.721343,44.0,13.1,0.0,2.1,5.7,18.4,14.8,0.40598183319108727,147,21988.65273,494.4530552,1
89.333251,23.136049,42.8,14.3,0.0,2.2,2.5,18.7,15.7,0.07414322401591542,145,27967.79992,536.094454,1
88.940108,24.542086,40.5,13.4,0.0,2.2,6.4,18.4,14.9,0.4139778559217159,145,24730.39136,800.2351969,1
88.968374,25.835213,36.6,13.7,0.0,2.1,6.9,17.7,14.6,0.49260676104412904,150,39462.81784,1042.23329,1
35.406541,33.050647,61.1,7.6,0.11,1.7,159.4,13.1,10.7,1.3525644909344092,161,602.6296796,0.0,1
76.96952,55.81528,49.2,8.0,31.0,0.0,5.3,-22.1,1.0,0.973326312659823,153,161.604946,0.000932622,1
86.3711,20.9605,36.7,12.4,0.0,2.9,0.0,21.3,18.2,0.0,145,36535.52167,207.2462842,1
86.857682,21.636522,37.0,13.2,0.0,2.5,1.5,19.7,17.3,0.11530675685097261,146,8614.420873,116.2412195,1
86.91667,21.585458,37.0,13.2,0.0,2.5,1.5,19.7,17.3,0.11530675685097261,146,8614.420873,116.2412195,1
90.598,23.685,39.0,13.8,0.0,2.2,3.9,18.6,15.1,0.40598183319108727,145,8504.041943,322.0633522,1
70.273,55.652,47.8,8.3,31.0,0.0,3.6,-20.9,1.2,1.096389434165382,155,104.7709918,0.000793021,1
91.876,22.298,30.5,11.3,0.0,2.5,3.9,19.6,15.3,0.0,149,1719.636454,32.81055754,1
70.143763,55.924905,47.8,8.3,31.0,0.0,3.6,-20.9,1.2,1.096389434165382,155,104.7709918,0.000793021,1
46.603424,51.29798,75.2,6.4,30.78,0.2,46.1,-8.9,2.8,1.2940672874734762,149,310.2914362,0.00160353,1
74.533353,55.081623,47.0,8.4,31.0,0.1,5.1,-22.2,0.9,0.8233646768844188,154,229.9346524,0.001855764,1
70.495382,55.609609,47.8,8.3,31.0,0.0,3.6,-20.9,1.2,1.096389434165382,155,104.7709918,0.000793021,1
78.265121,54.895912,53.2,8.0,31.0,0.0,6.0,-22.6,1.0,0.8718295830867505,154,144.7600887,0.000451896,1
